Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
11,40,RL,200.9,150239.1,Pave,,IR3,Bnk,NoSeWa,Corner,Sev,NPkVill,RRAn,RRNn,Duplex,2Story,4,3,1894,1950,Shed,Metal,CemntBd,Wd Sdng,BrkFace,1263.8,Fa,TA,Wood,Fa,TA,No,Unf,5365.8,Rec,907.3,134.1,921.6,OthW,Po,Y,Mix,2279.6,374.0,0.0,1500.4,2,1,1,0,8,3,TA,6,Min2,2,,CarPort,1948.0,,0,897.1,Fa,Gd,Y,534.5,302.3,500.5,48.0,69.3,634.0,,MnWw,,5979.4,2,2008,VWD,Family,253291
12,70,RM,75.9,83197.9,Pave,,IR1,HLS,NoSeWa,FR3,Gtl,NPkVill,Feedr,PosN,1Fam,2.5Fin,10,8,1980,1965,Shed,CompShg,HdBoard,CBlock,BrkFace,1015.3,Fa,TA,CBlock,Fa,Fa,No,Unf,3374.0,GLQ,148.7,1494.3,78.6,GasW,Fa,Y,SBrkr,868.8,92.9,0.0,2188.5,0,0,0,1,7,3,Fa,9,Min2,0,,Attchd,1908.0,RFn,4,27.6,Ex,Gd,Y,586.2,391.7,141.5,132.4,385.6,584.0,,,,12126.0,8,2010,WD,AdjLand,425409
13,90,C,,177126.6,Grvl,,IR1,HLS,AllPub,Corner,Mod,BrkSide,RRAe,Feedr,Twnhs,1Story,1,10,1932,1967,Flat,WdShngl,MetalSd,ImStucc,None,852.3,TA,Fa,Wood,TA,TA,Gd,BLQ,83.9,GLQ,865.8,1331.8,672.0,Grav,TA,Y,FuseF,496.6,167.1,0.0,5254.0,0,0,1,2,3,0,Fa,13,Sev,1,Po,BuiltIn,1978.0,NA,2,169.8,Fa,NA,P,545.6,204.1,337.5,339.0,43.4,476.0,,,,6685.5,12,2010,Oth,AdjLand,374626
14,90,RH,249.9,142399.0,Pave,Pave,IR3,HLS,NoSeWa,Inside,Gtl,Somerst,PosA,Artery,Duplex,1.5Fin,9,3,1915,1956,Gable,Tar&Grv,MetalSd,BrkFace,BrkFace,628.0,Fa,Fa,Slab,Gd,Gd,NA,ALQ,1991.6,,666.5,263.7,2222.0,Grav,Ex,N,SBrkr,1731.1,1356.8,0.0,3008.2,1,0,3,0,8,0,Fa,7,Min1,1,,CarPort,1938.0,NA,3,228.6,TA,,Y,654.0,161.6,88.2,37.0,292.6,336.0,,,,7991.1,5,2006,Con,Alloca,477167
15,75,RL,182.8,171651.9,Pave,,Reg,HLS,AllPub,FR3,Mod,Blueste,PosA,PosN,TwnhsE,SFoyer,7,10,1887,1964,Gambrel,WdShngl,AsphShn,CemntBd,BrkCmn,466.2,Fa,Po,Stone,Fa,Fa,NA,NA,807.4,BLQ,1141.7,2123.2,3544.9,Floor,Ex,Y,FuseP,1530.6,279.8,0.0,3767.4,2,2,2,1,6,1,TA,9,Maj1,1,Ex,CarPort,1901.0,Unf,0,299.6,NA,Po,Y,808.6,471.7,215.3,194.2,285.3,459.0,,,,15417.4,10,2006,ConLI,Partial,443274
16,50,RL,22.5,59481.5,Grvl,,IR2,Low,NoSeWa,FR3,Sev,OldTown,PosA,Norm,1Fam,2.5Unf,7,9,1893,1973,Gable,Metal,CemntBd,Wd Sdng,BrkCmn,1316.4,Fa,Ex,PConc,NA,TA,NA,ALQ,5218.6,Unf,308.2,464.7,1179.3,GasW,Ex,Y,FuseP,2107.4,1019.9,0.0,2389.4,3,0,1,0,1,2,Fa,8,Maj1,2,,2Types,1967.0,Unf,3,1134.1,Fa,Ex,P,737.5,231.1,47.3,261.3,160.7,312.0,,GdWo,,12189.7,6,2009,ConLD,Alloca,358838
17,45,RL,243.2,149426.7,Pave,,IR1,HLS,NoSeWa,CulDSac,Gtl,Edwards,Norm,Norm,1Fam,1.5Unf,5,1,1928,1998,Hip,Membran,Plywood,Stone,BrkFace,722.3,Ex,TA,Wood,Gd,Gd,Gd,GLQ,587.0,NA,668.0,1736.8,4900.0,Wall,Gd,Y,FuseA,4526.3,315.2,0.0,1334.7,3,2,1,2,0,3,Fa,3,Maj2,0,Gd,2Types,1951.0,Fin,3,439.2,Po,Gd,P,358.7,107.2,319.9,489.3,65.0,153.0,,,,13254.7,3,2006,WD,Alloca,358153
18,75,RL,31.3,57794.7,Pave,,IR3,HLS,NoSeWa,CulDSac,Gtl,StoneBr,RRAe,PosN,2FmCon,2Story,7,5,1933,2000,Shed,Metal,BrkComm,MetalSd,None,802.3,Ex,Ex,Wood,Gd,Gd,NA,ALQ,2188.2,,230.3,2067.5,4602.6,Wall,Fa,N,FuseP,2609.9,351.4,0.0,1516.6,1,1,0,2,0,2,Ex,9,Sev,2,,Attchd,1987.0,RFn,2,442.9,TA,Gd,P,186.4,409.7,190.9,428.7,383.8,608.0,,,,9189.2,8,2006,New,Family,384858
19,75,RL,238.8,202209.0,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Veenker,PosA,Artery,2FmCon,1.5Fin,2,3,1978,2004,Gable,WdShake,BrkFace,AsbShng,BrkFace,833.3,TA,Po,Slab,TA,TA,NA,NA,1276.1,GLQ,1411.4,1353.7,4251.7,Grav,Po,N,FuseF,2744.7,9.0,0.0,4594.6,1,1,2,2,2,1,Fa,5,Min2,1,NA,Attchd,1981.0,NA,4,1071.4,TA,TA,N,267.3,183.7,470.4,465.6,221.7,348.0,,,,5397.4,2,2006,ConLI,Alloca,469708
20,40,RM,80.1,137449.1,Pave,,Reg,HLS,NoSeWa,FR2,Gtl,Somerst,RRAn,Feedr,TwnhsE,1Story,4,6,1942,1962,Gable,CompShg,MetalSd,Other,Stone,717.4,TA,Gd,CBlock,NA,TA,Gd,,4778.9,LwQ,1147.9,576.6,2978.4,GasW,Po,Y,FuseF,4437.5,662.5,0.0,5076.6,2,1,2,2,1,2,Fa,12,Maj2,2,NA,Basment,1910.0,,4,584.8,TA,,Y,503.7,115.9,100.4,416.6,348.1,593.0,,,,15364.7,1,2008,Oth,Family,497395
21,60,RH,300.8,70727.7,Pave,,IR3,Bnk,NoSeWa,Inside,Mod,Veenker,Norm,Feedr,2FmCon,2.5Fin,7,10,1961,1958,Flat,Tar&Grv,Wd Sdng,MetalSd,BrkCmn,409.7,Fa,Gd,PConc,NA,TA,Av,LwQ,1741.5,ALQ,1085.9,722.4,2231.5,Floor,Gd,Y,FuseF,4348.4,185.4,0.0,2951.2,0,2,2,0,3,3,TA,6,Typ,1,,NA,1936.0,Unf,1,91.7,TA,Ex,N,733.8,14.9,154.6,299.3,7.9,528.0,,,,3782.3,11,2009,Oth,AdjLand,427860
22,50,C,128.4,58960.7,Pave,Grvl,IR1,Bnk,AllPub,FR3,Mod,StoneBr,RRNn,Artery,Duplex,2.5Unf,3,2,1943,2005,Hip,Roll,VinylSd,Wd Sdng,BrkCmn,,Ex,Ex,Stone,Ex,Fa,No,NA,5598.2,NA,1017.4,2069.1,2294.8,OthW,TA,N,FuseA,4187.0,813.5,0.0,2228.9,0,0,3,0,7,0,Gd,12,Sal,0,NA,Detchd,1989.0,Fin,4,829.7,TA,Fa,N,601.4,530.9,97.8,437.3,35.8,299.0,,MnWw,,13528.7,12,2006,Con,Partial,344260
23,30,C,116.5,42147.8,Grvl,,IR1,Bnk,NoSeWa,CulDSac,Gtl,StoneBr,PosN,Feedr,2FmCon,2.5Fin,2,9,1941,2005,Gambrel,CompShg,CBlock,CBlock,Stone,157.7,Fa,Fa,CBlock,Fa,Fa,No,GLQ,218.0,Rec,624.0,696.7,3073.8,GasA,Fa,N,SBrkr,761.1,1234.4,0.0,4622.0,3,1,3,1,4,2,Fa,14,Min2,1,Gd,Basment,1971.0,Fin,2,184.4,Gd,TA,N,465.4,255.6,311.2,287.1,84.4,691.0,,GdWo,,14125.2,1,2006,CWD,Family,445240
24,75,C,64.5,149915.0,Pave,,IR2,Low,AllPub,Inside,Mod,SawyerW,RRAe,RRNn,1Fam,2Story,10,6,1901,1964,Shed,WdShngl,Stucco,AsphShn,BrkCmn,1211.9,Ex,TA,Stone,Fa,Po,Gd,GLQ,724.0,,1360.9,1743.1,472.4,Grav,Ex,N,FuseA,3098.3,759.0,0.0,3906.8,1,0,0,1,4,3,Gd,9,Maj2,3,,CarPort,1921.0,Unf,3,810.6,Gd,Po,Y,515.8,88.5,61.7,181.7,54.6,727.0,,,,12672.1,8,2010,COD,Family,508702
25,120,C,110.2,48093.1,Pave,,IR2,Bnk,NoSeWa,CulDSac,Gtl,Timber,Feedr,RRNn,TwnhsE,1.5Unf,2,7,1974,2006,Shed,Membran,HdBoard,VinylSd,Stone,357.6,TA,Ex,Slab,Gd,Fa,NA,LwQ,1267.9,LwQ,107.5,2313.0,4168.9,OthW,Gd,N,FuseP,3855.7,1456.0,0.0,551.0,2,2,1,0,5,1,Gd,6,Sev,3,Ex,Detchd,1951.0,Unf,0,1105.5,Fa,Ex,P,452.7,414.5,104.5,189.1,92.0,533.0,,,,1768.3,2,2008,VWD,Normal,267544
26,160,RM,277.0,128662.2,Pave,,IR3,HLS,NoSeWa,Inside,Mod,NPkVill,Artery,Artery,Duplex,SLvl,1,5,1903,2007,Shed,ClyTile,CemntBd,CBlock,BrkCmn,89.1,Gd,Fa,Stone,Gd,Gd,Mn,BLQ,4577.9,BLQ,1184.0,2335.6,2147.7,Grav,Gd,N,FuseF,3975.4,1531.1,0.0,2195.7,3,1,3,0,4,3,Fa,6,Maj1,0,NA,NA,1904.0,NA,0,1318.0,NA,Ex,Y,832.7,485.5,374.5,287.3,329.5,235.0,,,,13238.8,5,2006,ConLD,AdjLand,271314
27,60,FV,311.9,57917.3,Grvl,,IR3,Low,AllPub,Inside,Mod,OldTown,PosN,RRNn,1Fam,SFoyer,5,9,1957,1984,Gambrel,WdShngl,Stucco,Stone,None,1276.0,Gd,Po,Wood,TA,Fa,NA,ALQ,4958.4,GLQ,317.3,1246.2,1373.3,GasA,Fa,N,FuseA,2852.5,1438.5,0.0,3955.0,0,0,2,1,4,2,Ex,7,Min2,2,Gd,Attchd,1901.0,RFn,4,95.1,Gd,Po,P,699.4,288.8,41.1,411.2,22.6,210.0,,,,10288.6,2,2008,ConLI,Alloca,410297
28,30,RH,128.5,142924.9,Grvl,,IR1,HLS,NoSeWa,Corner,Mod,BrkSide,RRAe,PosN,1Fam,1Story,6,1,1928,1973,Shed,Metal,AsphShn,VinylSd,BrkCmn,246.5,Fa,Fa,PConc,NA,TA,,GLQ,403.3,GLQ,477.6,1930.8,1700.6,Floor,Po,N,FuseA,410.2,1934.3,0.0,3379.1,0,0,1,0,6,3,Fa,8,Typ,2,,BuiltIn,1904.0,Fin,1,431.0,TA,TA,N,669.6,15.5,410.2,67.9,18.2,285.0,,,,10552.8,11,2009,WD,Family,403057
29,190,RL,152.0,175652.3,Pave,,IR1,Lvl,NoSeWa,Inside,Gtl,BrDale,PosN,Feedr,Twnhs,SLvl,6,5,1980,1982,Gable,WdShake,AsbShng,VinylSd,BrkFace,1000.2,TA,Po,Stone,Fa,TA,No,BLQ,183.2,ALQ,765.6,2313.2,1101.6,Wall,Fa,N,FuseF,4577.4,490.0,0.0,5525.6,2,1,1,2,5,3,TA,10,Sal,2,Ex,Detchd,1998.0,Fin,0,925.2,TA,Ex,N,443.4,199.7,57.6,19.9,15.2,422.0,,GdWo,,12191.2,4,2009,Oth,AdjLand,539818
30,120,FV,231.8,167754.6,Grvl,,IR3,HLS,NoSeWa,CulDSac,Gtl,Mitchel,Norm,PosN,2FmCon,1Story,9,10,1880,1965,Mansard,Tar&Grv,Wd Sdng,CBlock,BrkFace,541.8,Ex,Ex,Slab,Ex,,Gd,Unf,4202.3,NA,1153.6,875.2,5508.6,Grav,Po,N,Mix,2391.8,391.2,0.0,4931.3,3,0,1,2,1,2,Fa,12,Mod,1,Ex,Detchd,1931.0,,1,447.3,TA,Po,N,284.4,133.0,323.2,401.1,334.9,718.0,,,,7603.3,9,2007,New,Abnorml,570951
31,50,C,279.8,164080.3,Grvl,,IR3,Bnk,AllPub,Inside,Mod,OldTown,RRNe,Artery,Duplex,SFoyer,4,6,1902,1957,Mansard,Roll,HdBoard,Stucco,BrkFace,202.4,Fa,Gd,Slab,Fa,Gd,NA,Rec,752.6,GLQ,1236.0,589.6,1032.8,Floor,Fa,N,FuseF,2049.3,1259.1,0.0,651.1,2,2,0,2,0,2,Ex,8,Min2,3,,Attchd,2007.0,Unf,0,639.6,Gd,,N,16.7,348.1,550.8,329.0,257.3,493.0,,,,4140.9,2,2010,ConLI,Partial,262690
32,20,FV,194.2,41462.3,Grvl,,Reg,Lvl,NoSeWa,FR2,Sev,BrkSide,Norm,RRNn,TwnhsE,1.5Fin,1,7,1942,1978,Shed,Membran,AsphShn,Wd Sdng,BrkFace,663.2,Fa,TA,PConc,Fa,Po,Gd,Unf,750.6,NA,860.4,266.8,5394.7,GasW,Po,Y,Mix,2055.2,1228.4,0.0,4186.4,3,1,3,1,0,1,Fa,7,Min1,0,NA,2Types,1918.0,Fin,1,28.5,Gd,Ex,N,37.2,283.8,96.0,417.2,177.7,418.0,,,,8911.4,4,2007,COD,Normal,443120
33,120,RH,135.3,20209.5,Pave,,Reg,Lvl,NoSeWa,Corner,Mod,Edwards,Norm,PosN,TwnhsE,SLvl,6,4,2008,1972,Gambrel,WdShake,WdShing,ImStucc,None,23.7,Ex,Ex,BrkTil,Fa,TA,NA,BLQ,126.2,,594.1,329.1,3496.4,Wall,Gd,N,FuseF,2182.4,1053.4,0.0,2119.2,0,1,3,0,3,3,TA,13,Typ,2,Gd,Basment,2002.0,,1,983.4,NA,Po,P,25.9,194.6,144.1,496.2,324.3,344.0,,,,1684.5,10,2008,COD,Partial,450340
34,85,RL,141.5,150836.6,Grvl,,Reg,Lvl,AllPub,Inside,Gtl,Edwards,RRAn,PosN,TwnhsE,SLvl,5,1,1884,1994,Gable,Tar&Grv,VinylSd,WdShing,BrkCmn,1345.7,Fa,Gd,Wood,Gd,NA,NA,BLQ,281.1,BLQ,1395.1,1993.9,5300.1,Wall,Po,N,SBrkr,1389.4,9.0,0.0,3954.5,1,1,1,1,1,0,TA,11,Min2,2,,BuiltIn,,NA,3,1252.5,Ex,Gd,N,840.3,354.7,495.9,127.7,265.7,522.0,,,,10459.5,5,2010,New,Abnorml,493020
35,60,RL,,80106.0,Pave,,Reg,Lvl,NoSeWa,FR2,Sev,NAmes,RRAe,Norm,Twnhs,2Story,10,8,2002,1980,Gable,Membran,BrkFace,Stucco,BrkFace,821.6,Ex,Po,BrkTil,NA,Po,NA,Unf,1488.2,LwQ,363.4,1375.3,2896.5,OthW,Fa,Y,Mix,1760.5,1146.6,0.0,3610.2,1,1,0,1,5,2,Gd,5,Maj1,0,Gd,,1986.0,NA,2,1385.2,TA,Ex,N,98.1,319.7,345.7,98.7,3.5,318.0,,,,7485.6,10,2006,CWD,Normal,579867
36,150,RH,21.9,93798.3,Grvl,,Reg,Low,NoSeWa,CulDSac,Gtl,Blueste,Artery,PosN,Duplex,1.5Fin,6,10,1906,1989,Hip,CompShg,Stucco,Wd Sdng,BrkCmn,222.7,TA,TA,Stone,NA,NA,Mn,ALQ,366.9,,1183.8,2041.0,5667.8,GasW,TA,Y,Mix,4628.2,1926.2,0.0,3004.2,0,2,0,0,8,3,TA,12,Maj2,1,,NA,1945.0,Fin,0,1177.7,NA,Fa,P,121.8,495.9,271.9,173.2,402.5,341.0,,,,7786.1,10,2010,New,AdjLand,472667
37,120,RH,201.9,7964.2,Grvl,,IR3,HLS,NoSeWa,FR2,Sev,Blueste,Artery,RRNn,1Fam,SFoyer,3,4,1892,1998,Flat,Roll,CBlock,HdBoard,None,379.2,TA,Fa,Slab,Fa,NA,Gd,Rec,2082.0,ALQ,902.2,1844.2,1292.2,Floor,Fa,Y,FuseA,1938.5,690.9,0.0,4861.5,1,2,3,1,7,0,Gd,11,Min2,2,Po,Detchd,1982.0,RFn,4,45.1,NA,Po,Y,414.9,326.5,310.6,446.0,168.1,378.0,,GdWo,Elev,2880.2,5,2010,WD,Normal,400379
38,80,C,124.8,56835.1,Grvl,,IR2,Lvl,AllPub,Corner,Sev,NridgHt,RRNn,Feedr,Twnhs,2.5Unf,2,3,1935,2003,Mansard,Metal,ImStucc,Other,Stone,716.8,Gd,Ex,CBlock,NA,NA,No,GLQ,4700.2,ALQ,555.5,1573.9,3389.2,Grav,Gd,Y,Mix,2629.5,1998.1,0.0,4095.7,1,0,3,2,3,0,Ex,13,Maj2,1,,2Types,,NA,2,924.3,Ex,Po,N,412.6,277.7,163.1,7.1,191.8,545.0,,,,639.9,12,2009,Con,Alloca,469813
39,20,RL,252.9,8504.9,Pave,,IR3,Low,NoSeWa,CulDSac,Gtl,Gilbert,RRNn,Feedr,2FmCon,2.5Fin,6,7,1966,2004,Shed,WdShake,BrkFace,MetalSd,None,302.2,TA,Fa,CBlock,TA,TA,Av,Unf,1841.8,GLQ,2.0,1423.4,768.9,Grav,Po,N,FuseP,4030.9,736.7,0.0,5055.8,3,2,0,0,1,3,TA,3,Maj1,1,Po,Attchd,1949.0,NA,3,702.8,NA,Ex,P,788.4,450.5,472.1,5.4,375.5,632.0,,,,9474.7,12,2007,WD,Abnorml,498642
40,90,FV,48.2,189397.4,Pave,,Reg,Low,NoSeWa,Inside,Mod,SawyerW,Feedr,Feedr,1Fam,2Story,1,2,1905,1963,Gable,WdShngl,Stucco,CemntBd,BrkFace,429.8,Ex,TA,Slab,Gd,TA,Mn,LwQ,4107.9,Unf,658.3,112.9,2732.5,GasW,Po,N,FuseA,2632.5,288.8,0.0,1828.8,2,0,2,2,0,3,TA,12,Sev,1,Ex,Detchd,1925.0,RFn,3,1329.9,,Gd,N,63.0,110.7,411.4,110.1,89.8,694.0,,,,10211.9,5,2009,Oth,Family,282531
41,90,RM,192.8,53373.5,Grvl,,IR3,Low,AllPub,Inside,Gtl,Crawfor,RRAe,RRNn,TwnhsE,SLvl,7,8,1992,2008,Gambrel,Roll,AsbShng,Other,None,855.0,TA,Ex,CBlock,Gd,NA,No,GLQ,530.0,Rec,407.9,2037.6,3482.1,Wall,Po,Y,FuseA,1748.0,822.7,0.0,2181.9,3,0,0,2,6,3,Gd,14,Min1,2,,2Types,1970.0,RFn,3,1279.2,NA,Po,P,820.4,133.2,354.6,191.0,4.8,589.0,,GdPrv,,7723.5,10,2009,Con,Alloca,501760
42,180,RM,161.4,120539.5,Grvl,,IR1,HLS,AllPub,FR2,Gtl,Gilbert,RRAe,Feedr,2FmCon,1Story,7,6,1886,2002,Mansard,Metal,AsbShng,HdBoard,BrkFace,1332.2,TA,Ex,Wood,NA,NA,Gd,ALQ,3721.5,ALQ,153.8,976.1,3700.7,Grav,Gd,N,SBrkr,2616.5,1021.4,0.0,3635.3,2,1,2,0,2,0,TA,12,Mod,2,NA,CarPort,1931.0,Fin,4,1401.0,NA,Po,Y,185.4,428.6,514.3,153.6,436.2,634.0,,,,11868.8,10,2007,WD,Abnorml,568310
43,85,RH,208.6,9639.4,Pave,,IR3,Lvl,AllPub,Inside,Mod,NridgHt,RRAe,Feedr,Duplex,1.5Unf,10,7,1991,1979,Flat,Tar&Grv,Stone,BrkComm,None,642.9,Ex,Fa,PConc,Fa,Po,Av,NA,1787.7,GLQ,110.8,1307.7,2233.4,Grav,Fa,Y,FuseA,831.2,1299.8,0.0,5464.0,2,0,3,2,5,3,Fa,10,Maj1,0,,Basment,2010.0,Unf,0,1222.2,Ex,Gd,N,831.4,242.0,319.1,419.1,242.6,207.0,,,,8737.6,2,2009,ConLw,AdjLand,682041
